Subject,Number,Name,Section Title,Fall,Spring,Summer
AAS,100,Intro Asian American Studies,,True,True,False
AAS,105,Introduction to Arab American Studies,,False,True,False
AAS,200,U.S. Race and Empire,,True,True,False
AAS,201,US Racial &amp; Ethnic Politics,,True,True,True
AAS,211,Asian Americans and the Arts,,True,False,False
AAS,215,US Citizenship Comparatively,,True,True,False
AAS,246,Asian American Youth in Film,,True,False,False
AAS,260,Intro Asian American Theatre,,True,True,False
AAS,275,The Politics of Fashion,,True,True,True
AAS,281,Constructing Race in America,,True,True,False
AAS,282,Feminist and Queer Activisms,,False,True,False
AAS,283,Asian American History,,False,True,False
AAS,286,Asian American Literature,,True,True,False
AAS,297,Asian Families in America,,True,True,False
AAS,299,Begin Topics Asian Am Studies,Race&Visual Culture after 1980,False,True,False
AAS,299,Begin Topics Asian Am Studies,"Race, Gender, and Music",False,True,False
AAS,300,"Theories of Race, Gender, and Sexuality",,True,True,False
AAS,310,Race and Cultural Diversity,,True,True,False
AAS,343,Criminalization and Punishment,,True,True,False
AAS,355,Race and Mixed Race,,True,True,False
AAS,357,Literatures of the Displaced,,True,True,False
AAS,390,Intermed Topics Asian Am St,"Race, Science and Technology",True,False,False
AAS,395,Adv Asian Am Undergrad Reading,,True,False,False
AAS,402,Asian American Education,,True,False,False
AAS,464,Theories &amp; Theologies of Liberation,,False,True,False
AAS,465,"Race, Sex, and Deviance",,False,True,False
AAS,479,"Race, Medicine, and Society",,True,True,False
AAS,490,Adv Topics in Asian Am Studies,Adv Topics in AAS,True,False,False
AAS,501,Theory and Methods in AAS,,True,False,False
AAS,539,"Youth, Culture and Society",,False,True,False
AAS,561,Race and Cultural Critique,,False,True,False
AAS,589,Readings in Asian Am Studies,,False,True,True
AAS,590,Asian Am Studies Seminar,Improvise and Intervene,False,True,False
AAS,590,Asian Am Studies Seminar,Interdisciplinary Methods,True,False,False
AAS,590,Asian Am Studies Seminar,Interseminars Intensive,False,False,True
AAS,590,Asian Am Studies Seminar,Interseminars Summer Intensive,False,False,True
ABE,100,Intro Agric &amp; Biological Engrg,,True,False,False
ABE,127,Introduction to Agricultural &amp; Biological Engineering,,True,False,False
